criterion,AICW,FUCOM,LBWA,MEREC,SD
trlCurrent,0.4997807239058437,0.2346368715083799,0.39473684210526316,0.0399809463392679,0.1401250995896879
duration_months,0.1957848250756147,0.19553072625698326,0.13157894736842105,0.014574576841954475,0.1316016389356614
trl_gap,0.09977158889553424,0.2346368715083799,0.19736842105263158,0.49626865569519385,0.1546102807736259
primaryTxLevel,0.03964181369936729,0.15642458100558662,0.09868421052631579,0.0545644291380257,0.23665678888267241
taxonomy_rarity,0.08983642182031952,0.10428305400372441,0.09868421052631579,0.1289706204008029,0.2750156384455936
otherOrgCount,0.07518462660332056,0.074487895716946,0.07894736842105264,0.26564077158475513,0.061990553372758814
