,AICW_score,AICW_rank,FUCOM_score,FUCOM_rank,LBWA_score,LBWA_rank,MEREC_score,MEREC_rank,SD_score,SD_rank
157166,0.24485785972074042,114.0,0.31257448403614896,33.0,0.3150707777499454,25.0,0.4790225508018446,2.0,0.3920355852483417,22.0
157638,0.1595723631501075,203.0,0.16688395002330456,198.0,0.140814519569825,203.0,0.13889270784128493,50.0,0.11834409543873745,207.0
146752,0.1604474800997808,201.0,0.12550040716457533,210.0,0.11535628763416836,210.0,0.017329404814164583,213.0,0.09097699612997787,210.0
146748,0.33037633657583687,25.0,0.2736708269743255,51.0,0.26629841892279904,48.0,0.08781423192722178,82.0,0.3050343072744867,44.0
146794,0.23248045754562582,130.0,0.21486277929992267,130.0,0.18913050324461256,148.0,0.09256969183913828,78.0,0.28754471801544207,50.0
146768,0.3451550106985859,20.0,0.2716295333559898,53.0,0.2851007455791553,37.0,0.09995520239989052,74.0,0.31548467789228846,42.0
157212,0.32922694269216707,26.0,0.30207092741432945,34.0,0.2891074198881179,34.0,0.1115406063979673,62.0,0.37060989013663304,24.0
117114,0.24336157923352605,117.0,0.2313922486144086,102.0,0.20631898259633644,123.0,0.07424183802199395,101.0,0.2767528282187982,62.0
146766,0.32917277106947246,27.0,0.23186926040368383,100.0,0.2592690781366062,50.0,0.08631405119868484,83.0,0.25181906706567797,86.0
146749,0.2989975591414265,47.0,0.2688072632999522,57.0,0.2592089856300745,51.0,0.07738926605708704,91.0,0.29372648536577195,48.0
157200,0.24037853775427573,121.0,0.24535331984084077,81.0,0.21364778356789185,110.0,0.0728347503178304,103.0,0.2799507811948438,58.0
146772,0.2785950663487765,72.0,0.18275320510486412,177.0,0.20552754352839453,124.0,0.059767460449208144,133.0,0.1668131566480603,195.0
117130,0.12971015470499409,210.0,0.12112061067786765,212.0,0.10472407139909563,212.0,0.07556548887599357,95.0,0.08811733888117954,212.0
146770,0.28658842354489383,60.0,0.25512568599770363,66.0,0.24621879007836428,64.0,0.06053514487026839,126.0,0.2569528613595115,81.0
146767,0.28226418399323344,65.0,0.25055040207668305,74.0,0.24186267984173132,70.0,0.05491710287837055,144.0,0.24451978567607213,100.0
117159,0.19251467371306813,177.0,0.20845031309616094,143.0,0.17973695747525104,164.0,0.09120760051527173,80.0,0.18987685152277328,173.0
117116,0.12971015470499409,210.0,0.12112061067786765,212.0,0.10472407139909563,212.0,0.07556548887599357,95.0,0.08811733888117954,212.0
146747,0.34174806915103306,21.0,0.24778650379798683,76.0,0.2580662722967659,52.0,0.2537517631755255,17.0,0.2608365350947716,73.0
96495,0.38252573797119305,9.0,0.34125935594659745,25.0,0.3417568088715808,16.0,0.17434496608538974,38.0,0.2512959585871603,87.0
96493,0.3783128172847265,10.0,0.33753164694207516,26.0,0.33776401375443854,17.0,0.16645476232480638,40.0,0.24916304283500468,93.0
96500,0.3519775086737461,18.0,0.3134356796937345,32.0,0.31663427647431824,23.0,0.1436692503758977,47.0,0.23527409149903364,112.0
116091,0.23901773987321168,123.0,0.3419795879224009,24.0,0.27187409720721073,44.0,0.3116308049993877,13.0,0.25891019806161975,76.0
