Rank,AICW,FUCOM,LBWA,MEREC,SD
1,93023,105665,93023,105665,105665
2,10967,146775,105665,157166,146775
3,155247,93023,106639,117098,93023
4,105665,96525,146775,146775,96525
5,106639,106639,96525,96525,154487
6,146775,155247,155247,106639,95811
7,96525,117090,10967,96938,156345
8,154531,154487,117090,117090,106639
9,96495,10967,95811,154487,117093
10,96493,95811,96938,95816,155247
